figure_id,comparison_id,reference,other,modality,metric,mean_diff,p_raw,p_holm,n_pairs,ci_lo,ci_hi
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,noise_resilience_intrin,0.271822,0.000000,0.000000,45,0.222888,0.326997
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,overall_quality_intrin,0.237384,0.000000,0.000000,45,0.218712,0.257032
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,overall_quality_tsne,0.072346,0.000000,0.000000,45,0.057762,0.087649
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,overall_quality_umap,0.055907,0.000000,0.000000,45,0.042596,0.069377
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,participation_ratio_intrin,0.327702,0.000000,0.000000,45,0.305458,0.352229
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,spectral_decay_rate_intrin,0.140376,0.000000,0.000000,45,0.132829,0.148103
fig04,fig04_CCVGAE_vs_GAT-VAE,CCVGAE,GAT-VAE,scrna,trajectory_directionality_intrin,0.198173,0.000000,0.000000,45,0.178667,0.218776
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,ASW,0.288085,0.000000,0.000000,45,0.268884,0.307150
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,CAL,4270.925587,0.000000,0.000000,45,3629.073456,5004.206472
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,DAV,-0.799777,0.000000,0.000000,45,-0.858135,-0.742397
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,K_max_tsne,-219.985185,0.000000,0.000000,45,-253.699815,-186.671296
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,K_max_umap,-236.837037,0.000000,0.000000,45,-262.683519,-211.059074
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,Q_global_tsne,0.031991,0.000009,0.000027,45,0.019739,0.044149
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,Q_global_umap,0.021865,0.001402,0.004029,45,0.009154,0.034006
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,Q_local_tsne,0.204939,0.000000,0.000000,45,0.188423,0.223632
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,Q_local_umap,0.181886,0.000000,0.000000,45,0.164965,0.199267
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,anisotropy_score_intrin,0.233510,0.000000,0.000000,45,0.221709,0.246022
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,distance_correlation_tsne,0.036678,0.051580,0.154741,45,0.002739,0.070986
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,distance_correlation_umap,0.029773,0.062119,0.186358,45,-0.002186,0.059999
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,manifold_dimensionality_intrin,0.254682,0.000000,0.000000,45,0.235842,0.273082
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,noise_resilience_intrin,0.271925,0.000000,0.000000,45,0.222001,0.327701
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,overall_quality_intrin,0.233311,0.000000,0.000000,45,0.213410,0.253939
fig04,fig04_CCVGAE_vs_VAE,CCVGAE,VAE,scrna,overall_quality_tsne,0.091203,0.000000,0.000000,45,0.073644,0.109394
