dataset_id,gse,modality,notebook_source,path_reference,priority,notes
GSE117988_MCCPBMCCancer,GSE117988,scRNA,supplement,../../Downloads/CancerDatasets/GSE117988_MCCPBMCCancer.h5ad,2,Blood; Human; Merkel cell carcinoma PBMC (Paulson & Chapuis)
GSE117988_MCCTumorCancer,GSE117988,scRNA,supplement,../../Downloads/CancerDatasets/GSE117988_MCCTumorCancer.h5ad,2,Skin; Human; Merkel cell carcinoma tumor (Paulson & Chapuis)
GSE124310_MMHmCancer,GSE124310,scRNA,supplement,../../Downloads/CancerDatasets/GSE124310_MMHmCancer.h5ad,2,Blood; Human; Multiple myeloma immune microenvironment (Ghobrial & Getz)
GSE138709_LiverCancer,GSE138709,scRNA,supplement,../../Downloads/CancerDatasets/GSE138709_LiverCancer.h5ad,2,Liver; Human; Intrahepatic cholangiocarcinoma (Zhang et al.)
GSE149655_CAHmCancer,GSE149655,scRNA,supplement,../../Downloads/CancerDatasets/GSE149655_CAHmCancer.h5ad,2,Lung; Human; Early-stage lung adenocarcinoma KRAS (Yanagawa et al.)
GSE163558_stomachHmCancer,GSE163558,scRNA,supplement,../../Downloads/CancerDatasets/GSE163558_stomachHmCancer.h5ad,2,Stomach; Human; Primary & metastatic gastric cancer (Jiang et al.)
GSE168181_BreastHmCancer,GSE168181,scRNA,supplement,../../Downloads/CancerDatasets/GSE168181_BreastHmCancer.h5ad,2,Breast; Human; Breast cancer lymph node metastasis (Lei et al.)
GSE189357_lungAdreHmCancer,GSE189357,scRNA,supplement,../../Downloads/CancerDatasets/GSE189357_lungAdreHmCancer.h5ad,2,Lung; Human; Lung adenocarcinoma AIS to invasive (Jiang et al.)
GSE225857_liverColonMetasisHmCancer,GSE225857,scRNA,supplement,../../Downloads/CancerDatasets/GSE225857_liverColonMetasisHmCancer.h5ad,2,Liver; Human; Liver metastatic colorectal cancer (Wang & Long)
GSE228499_breastHmCancer,GSE228499,scRNA,supplement,../../Downloads/CancerDatasets/GSE228499_breastHmCancer.h5ad,2,Breast; Human; Primary breast cancer (Han et al.)
GSE283205_hepatoblastomaCancer,GSE283205,scRNA,supplement,../../Downloads/CancerDatasets/GSE283205_hepatoblastomaCancer.h5ad,2,Liver; Human; Hepatoblastoma Wnt-MDK immune evasion (Münter et al.)
